"elpd_diff","se_diff","elpd","se_elpd","p","se_p","ic","se_ic","variable","variable.label","criterion","model","best.model","model.label"
0,0,70.5998533,5.76982316,14.95972145,1.800413482,-141.1997066,11.53964632,"sand","Sand (%)","LOO","strip.plot.random","Yes","Strip and plot random effects"
-4.056092732,3.305047561,66.54376057,6.029698857,9.870975573,1.249209174,-133.0875211,12.05939771,"sand","Sand (%)","LOO","strip.random","No","Strip random effects"
-5.244809715,3.820319622,65.35504358,5.993950551,6.496887789,0.89688834,-130.7100872,11.9879011,"sand","Sand (%)","LOO","simple","No","Fixed effects only"
0,0,86.78725089,6.863235163,15.6907142,2.234885617,-173.5745018,13.72647033,"silt","Silt (%)","WAIC","strip.plot.random","Yes","Strip and plot random effects"
-12.83985728,5.141918099,73.94739361,7.309462546,8.919061219,1.337459386,-147.8947872,14.61892509,"silt","Silt (%)","WAIC","strip.random","No","Strip random effects"
-13.11697635,5.332745464,73.67027454,7.222313301,6.779595082,1.159166522,-147.3405491,14.4446266,"silt","Silt (%)","WAIC","simple","No","Fixed effects only"
0,0,86.17612266,6.970020418,16.30184243,2.343187525,-172.3522453,13.94004084,"silt","Silt (%)","LOO","strip.plot.random","Yes","Strip and plot random effects"
-12.36978906,5.19194227,73.8063336,7.332925,9.060121232,1.363054411,-147.6126672,14.66585,"silt","Silt (%)","LOO","strip.random","No","Strip random effects"
-12.55604124,5.390145114,73.62008142,7.234385705,6.829788199,1.171645944,-147.2401628,14.46877141,"silt","Silt (%)","LOO","simple","No","Fixed effects only"
0,0,58.88752439,5.875419587,14.07482025,1.72538908,-117.7750488,11.75083917,"clay","Clay (%)","WAIC","strip.plot.random","Yes","Strip and plot random effects"
-3.967986534,2.808762843,54.91953786,6.112059392,6.485781148,0.928200835,-109.8390757,12.22411878,"clay","Clay (%)","WAIC","simple","No","Fixed effects only"
-3.99555507,2.421360728,54.89196932,6.406183589,9.464506539,1.299115269,-109.7839386,12.81236718,"clay","Clay (%)","WAIC","strip.random","No","Strip random effects"
0,0,58.45887193,5.932047706,14.50347271,1.781610378,-116.9177439,11.86409541,"clay","Clay (%)","LOO","strip.plot.random","Yes","Strip and plot random effects"
