elpd_diff,se_diff,elpd,se_elpd,p,se_p,ic,se_ic,variable,variable.label,criterion,model,best.model,model.label
0,0,-22.79067177,10.87421081,7.961418442,2.163136511,45.58134353,21.74842161,k,K (ppm),WAIC,simple,Yes,Fixed effects only
-0.516574746,2.777245046,-23.30724651,10.72300918,15.3959442,3.645555419,46.61449302,21.44601837,k,K (ppm),WAIC,strip.plot.random,No,Strip and plot random effects
-0.717490674,0.441548188,-23.50816244,10.98493641,9.457958125,2.400387506,47.01632488,21.96987282,k,K (ppm),WAIC,strip.random,No,Strip random effects
0,0,-22.88815729,10.91258947,8.058903962,2.203177788,45.77631457,21.82517895,k,K (ppm),LOO,simple,Yes,Fixed effects only
-0.854543748,0.510495958,-23.74270103,11.06549699,9.69249672,2.486261084,47.48540207,22.13099398,k,K (ppm),LOO,strip.random,No,Strip random effects
-0.940178739,2.954816086,-23.82833602,10.85224661,15.91703371,3.771977902,47.65667205,21.70449321,k,K (ppm),LOO,strip.plot.random,No,Strip and plot random effects
0,0,71.84086696,14.71081228,16.64285983,5.883367413,-143.6817339,29.42162457,ca,Ca (ppm),WAIC,strip.plot.random,Yes,Strip and plot random effects
-4.190359629,3.425812674,67.65050733,12.30140653,11.23693016,3.939523553,-135.3010147,24.60281307,ca,Ca (ppm),WAIC,strip.random,No,Strip random effects
-4.258720126,4.084783854,67.58214684,12.09932419,8.340674055,3.104005521,-135.1642937,24.19864838,ca,Ca (ppm),WAIC,simple,No,Fixed effects only
0,0,70.87024724,15.29077429,17.61347955,6.479458344,-141.7404945,30.58154858,ca,Ca (ppm),LOO,strip.plot.random,Yes,Strip and plot random effects
-3.455677258,4.461304544,67.41456998,12.21517803,8.508250907,3.228979481,-134.82914,24.43035605,ca,Ca (ppm),LOO,simple,No,Fixed effects only
-3.610890139,3.690939458,67.2593571,12.56167839,11.62808039,4.216448969,-134.5187142,25.12335677,ca,Ca (ppm),LOO,strip.random,No,Strip random effects
