model,model.label,variable,variable.label,variable.mean,treatment,full.treatment.name,posterior.mean,X5,X95,X25,X75
strip.random,Strip random effects,silt,Silt (%),42.11111111,D,Acorn,42.43719336,39.88337137,45.29021826,41.54941905,43.57405996
strip.random,Strip random effects,silt,Silt (%),42.11111111,E,Seedbank,41.4886484,39.14319175,43.93691184,40.59339785,42.45818073
strip.random,Strip random effects,silt,Silt (%),42.11111111,R,Reference,38.19049003,35.22078788,41.32088844,37.08423607,39.31402655
strip.plot.random,Strip and plot random effects,silt,Silt (%),42.11111111,A,Balled-and-burlapped,44.49563763,40.03021821,49.25905375,42.72624753,46.2165967
strip.plot.random,Strip and plot random effects,silt,Silt (%),42.11111111,B,Bareroot,42.59584994,38.63907813,47.02963201,41.15765643,44.40178619
strip.plot.random,Strip and plot random effects,silt,Silt (%),42.11111111,C,Seedling,43.06244444,39.0455116,47.57980275,41.51821311,44.77865792
strip.plot.random,Strip and plot random effects,silt,Silt (%),42.11111111,D,Acorn,42.4188445,38.23671384,47.09066687,40.75738369,44.08105039
strip.plot.random,Strip and plot random effects,silt,Silt (%),42.11111111,E,Seedbank,41.42459743,37.59300233,45.9006686,39.90862307,43.06213342
strip.plot.random,Strip and plot random effects,silt,Silt (%),42.11111111,R,Reference,38.06985667,33.97579263,42.82576887,36.52565494,39.77702602
simple,Fixed effects only,clay,Clay (%),17.15555556,A,Balled-and-burlapped,17.37461064,16.46377387,18.32548738,17.02457894,17.78379402
simple,Fixed effects only,clay,Clay (%),17.15555556,B,Bareroot,17.90343226,17.00068668,18.85695842,17.5589827,18.31296791
simple,Fixed effects only,clay,Clay (%),17.15555556,C,Seedling,16.70556789,15.82358407,17.69038947,16.34864655,17.10866504
simple,Fixed effects only,clay,Clay (%),17.15555556,D,Acorn,17.24065605,16.33612651,18.1930735,16.89209458,17.64946989
simple,Fixed effects only,clay,Clay (%),17.15555556,E,Seedbank,17.37265917,16.46962011,18.33747528,17.03230975,17.79187003
simple,Fixed effects only,clay,Clay (%),17.15555556,R,Reference,16.17394298,15.26835185,17.13764062,15.83522927,16.59480598
strip.random,Strip random effects,clay,Clay (%),17.15555556,A,Balled-and-burlapped,17.39687523,16.08016344,18.88993496,16.92438162,17.98454004
strip.random,Strip random effects,clay,Clay (%),17.15555556,B,Bareroot,17.88341196,16.591754,19.11467809,17.43843359,18.41330646
strip.random,Strip random effects,clay,Clay (%),17.15555556,C,Seedling,16.70540685,15.52202562,17.98140006,16.268932,17.22414262
strip.random,Strip random effects,clay,Clay (%),17.15555556,D,Acorn,17.26258379,15.94951048,18.78596003,16.80471388,17.85643998
strip.random,Strip random effects,clay,Clay (%),17.15555556,E,Seedbank,17.3316533,16.11878558,18.676463,16.91756766,17.88991051
strip.random,Strip random effects,clay,Clay (%),17.15555556,R,Reference,16.19448453,14.58549369,17.91107846,15.63934164,16.8052656
strip.plot.random,Strip and plot random effects,clay,Clay (%),17.15555556,A,Balled-and-burlapped,17.36330141,15.59564517,19.23480534,16.67305944,18.04603391
strip.plot.random,Strip and plot random effects,clay,Clay (%),17.15555556,B,Bareroot,17.88091042,16.17143323,19.68163062,17.23329226,18.56386389
strip.plot.random,Strip and plot random effects,clay,Clay (%),17.15555556,C,Seedling,16.66080328,15.07409157,18.44483016,16.06712208,17.34952713
strip.plot.random,Strip and plot random effects,clay,Clay (%),17.15555556,D,Acorn,17.25133166,15.55263947,19.2155453,16.58816551,17.96298926
strip.plot.random,Strip and plot random effects,clay,Clay (%),17.15555556,E,Seedbank,17.34949495,15.71901507,19.16299106,16.67536405,17.97897324
strip.plot.random,Strip and plot random effects,clay,Clay (%),17.15555556,R,Reference,16.1584196,14.30835018,18.21153387,15.47252107,16.90121295
simple,Fixed effects only,ph,pH,7.636666667,A,Balled-and-burlapped,7.692937481,7.625018952,7.762767001,7.66712086,7.723562672
simple,Fixed effects only,ph,pH,7.636666667,B,Bareroot,7.739636143,7.672199428,7.810504724,7.713670552,7.769998569
simple,Fixed effects only,ph,pH,7.636666667,C,Seedling,7.652856788,7.583730781,7.722330952,7.625728397,7.681991534
simple,Fixed effects only,ph,pH,7.636666667,D,Acorn,7.633107076,7.563026429,7.701964887,7.604707298,7.661748506
simple,Fixed effects only,ph,pH,7.636666667,E,Seedbank,7.599558556,7.530278479,7.669004766,7.572552522,7.629119729
simple,Fixed effects only,ph,pH,7.636666667,R,Reference,7.499655966,7.430149106,7.569357681,7.472838137,7.529140884
strip.random,Strip random effects,ph,pH,7.636666667,A,Balled-and-burlapped,7.692365778,7.609569952,7.778115547,7.659199203,7.725517536
strip.random,Strip random effects,ph,pH,7.636666667,B,Bareroot,7.739421918,7.661157421,7.819805119,7.707690198,7.771024891
strip.random,Strip random effects,ph,pH,7.636666667,C,Seedling,7.653522145,7.573361812,7.731739437,7.619874363,7.683623936
strip.random,Strip random effects,ph,pH,7.636666667,D,Acorn,7.630831896,7.548637759,7.715486649,7.597985932,7.664214299
strip.random,Strip random effects,ph,pH,7.636666667,E,Seedbank,7.599741423,7.520401956,7.678511743,7.570195702,7.63340123
strip.random,Strip random effects,ph,pH,7.636666667,R,Reference,7.498847372,7.407095647,7.597180945,7.464486532,7.536321651
strip.plot.random,Strip and plot random effects,ph,pH,7.636666667,A,Balled-and-burlapped,7.692115417,7.597826308,7.785648055,7.656799158,7.73003717
strip.plot.random,Strip and plot random effects,ph,pH,7.636666667,B,Bareroot,7.73998166,7.65139995,7.828726171,7.705823201,7.775513622
strip.plot.random,Strip and plot random effects,ph,pH,7.636666667,C,Seedling,7.652827039,7.565138934,7.741077232,7.615142562,7.685039078
strip.plot.random,Strip and plot random effects,ph,pH,7.636666667,D,Acorn,7.630905559,7.538180682,7.72404932,7.595462316,7.66825819
strip.plot.random,Strip and plot random effects,ph,pH,7.636666667,E,Seedbank,7.599547596,7.511409492,7.68721235,7.565742559,7.635474515
strip.plot.random,Strip and plot random effects,ph,pH,7.636666667,R,Reference,7.499512917,7.395437656,7.600167168,7.460284956,7.537492458
simple,Fixed effects only,p,P (ppm),106.2333333,A,Balled-and-burlapped,111.2213585,105.4921053,117.3625506,108.896067,113.7147091
simple,Fixed effects only,p,P (ppm),106.2333333,B,Bareroot,114.611816,108.6274139,120.5186868,112.3378007,117.2024923
simple,Fixed effects only,p,P (ppm),106.2333333,C,Seedling,110.8136769,105.0581973,117.0438905,108.5610003,113.4453908
simple,Fixed effects only,p,P (ppm),106.2333333,D,Acorn,110.8898185,105.1582897,117.0228776,108.5713206,113.3688691
simple,Fixed effects only,p,P (ppm),106.2333333,E,Seedbank,107.4745707,101.809171,113.6536183,105.1264243,109.9888713
simple,Fixed effects only,p,P (ppm),106.2333333,R,Reference,81.27302693,75.56920399,87.47451851,79.14922231,83.9721583
strip.random,Strip random effects,p,P (ppm),106.2333333,A,Balled-and-burlapped,110.9350173,102.9072445,119.4809275,108.0377716,114.2637625
strip.random,Strip random effects,p,P (ppm),106.2333333,B,Bareroot,114.5365962,107.2877704,122.348999,111.5955707,117.4749734
strip.random,Strip random effects,p,P (ppm),106.2333333,C,Seedling,110.7188256,103.5335899,118.5299263,108.0218897,113.8813553
strip.random,Strip random effects,p,P (ppm),106.2333333,D,Acorn,111.0704741,103.0336382,119.4817293,107.9432718,114.2084549
strip.random,Strip random effects,p,P (ppm),106.2333333,E,Seedbank,107.4616171,100.2185226,115.0065989,104.7321091,110.52738
strip.random,Strip random effects,p,P (ppm),106.2333333,R,Reference,81.32679464,73.5704022,89.99244233,78.19402807,84.42179928
strip.plot.random,Strip and plot random effects,p,P (ppm),106.2333333,A,Balled-and-burlapped,110.8822999,101.5187367,121.3198772,107.2538119,114.7457418
strip.plot.random,Strip and plot random effects,p,P (ppm),106.2333333,B,Bareroot,114.421783,105.4376717,124.4991868,110.9160144,118.1175194
strip.plot.random,Strip and plot random effects,p,P (ppm),106.2333333,C,Seedling,110.6827786,101.6748706,120.2583196,107.4141789,114.5243074
strip.plot.random,Strip and plot random effects,p,P (ppm),106.2333333,D,Acorn,110.9109014,101.2146248,121.0087589,107.5481806,115.0487244
strip.plot.random,Strip and plot random effects,p,P (ppm),106.2333333,E,Seedbank,107.3420866,98.67245235,116.8655884,104.0548422,111.0502168
strip.plot.random,Strip and plot random effects,p,P (ppm),106.2333333,R,Reference,81.2585238,72.70647566,91.00797644,78.12250723,85.06625256
simple,Fixed effects only,k,K (ppm),67.74444444,A,Balled-and-burlapped,61.52135838,53.73837089,71.03581547,58.71015693,65.77063287
simple,Fixed effects only,k,K (ppm),67.74444444,B,Bareroot,64.64174715,56.63366223,73.93389884,61.87680771,68.87236858
simple,Fixed effects only,k,K (ppm),67.74444444,C,Seedling,53.4040119,45.63293352,62.90357428,50.61446772,57.66966124
simple,Fixed effects only,k,K (ppm),67.74444444,D,Acorn,84.26193662,76.29983584,93.72254025,81.28798961,88.28726556
simple,Fixed effects only,k,K (ppm),67.74444444,E,Seedbank,76.60948243,68.54260805,85.78900676,73.50423869,80.57262303
simple,Fixed effects only,k,K (ppm),67.74444444,R,Reference,62.36532577,54.57002134,71.96486799,59.41974128,66.51379574
strip.random,Strip random effects,k,K (ppm),67.74444444,A,Balled-and-burlapped,60.96757981,51.42634999,72.32311305,57.55760781,65.77867936
strip.random,Strip random effects,k,K (ppm),67.74444444,B,Bareroot,64.51531255,55.23942299,75.31277605,61.15556777,69.1228016
strip.random,Strip random effects,k,K (ppm),67.74444444,C,Seedling,53.22178587,44.43980013,63.64502148,50.10443294,57.81124448
strip.random,Strip random effects,k,K (ppm),67.74444444,D,Acorn,83.76074267,72.73735419,96.38922169,79.8524359,88.84539471
strip.random,Strip random effects,k,K (ppm),67.74444444,E,Seedbank,76.49608171,66.44102723,87.32126019,72.9520324,81.18466381
strip.random,Strip random effects,k,K (ppm),67.74444444,R,Reference,62.42505212,51.19339279,74.93693207,58.36439446,67.37529439
strip.plot.random,Strip and plot random effects,k,K (ppm),67.74444444,A,Balled-and-burlapped,60.72350728,48.67460661,75.49770677,56.01289929,66.2239874
strip.plot.random,Strip and plot random effects,k,K (ppm),67.74444444,B,Bareroot,64.22766289,52.22484207,78.69598294,59.74444587,69.80994221
strip.plot.random,Strip and plot random effects,k,K (ppm),67.74444444,C,Seedling,53.01247488,42.64019394,66.5796733,48.9399907,58.30776131
strip.plot.random,Strip and plot random effects,k,K (ppm),67.74444444,D,Acorn,83.45358029,68.36378161,101.7391113,77.90591576,90.19035609
strip.plot.random,Strip and plot random effects,k,K (ppm),67.74444444,E,Seedbank,75.94364469,62.93037387,92.42612682,71.07712555,82.21430884
strip.plot.random,Strip and plot random effects,k,K (ppm),67.74444444,R,Reference,62.44103538,49.15477738,79.10252134,57.37272031,68.4234438
simple,Fixed effects only,ca,Ca (ppm),6541.288889,A,Balled-and-burlapped,6694.514277,6397.893754,7012.570386,6580.952175,6829.289038
simple,Fixed effects only,ca,Ca (ppm),6541.288889,B,Bareroot,6418.440636,6124.179468,6732.325007,6306.710778,6553.806031
simple,Fixed effects only,ca,Ca (ppm),6541.288889,C,Seedling,6360.529759,6063.926888,6676.962177,6244.511272,6492.387615
simple,Fixed effects only,ca,Ca (ppm),6541.288889,D,Acorn,7078.26422,6772.133632,7380.101587,6961.582137,7209.609144
simple,Fixed effects only,ca,Ca (ppm),6541.288889,E,Seedbank,6629.269281,6339.917448,6949.741556,6521.470533,6769.550866
simple,Fixed effects only,ca,Ca (ppm),6541.288889,R,Reference,6019.808075,5721.573423,6330.675048,5906.283685,6153.905659
strip.random,Strip random effects,ca,Ca (ppm),6541.288889,A,Balled-and-burlapped,6664.385387,6234.055229,7138.213448,6520.636396,6864.733381
strip.random,Strip random effects,ca,Ca (ppm),6541.288889,B,Bareroot,6416.932487,6021.397675,6827.208661,6269.649946,6585.02978
strip.random,Strip random effects,ca,Ca (ppm),6541.288889,C,Seedling,6357.405418,5976.082632,6772.659959,6213.289064,6522.544958
strip.random,Strip random effects,ca,Ca (ppm),6541.288889,D,Acorn,7026.608268,6572.380034,7517.793433,6875.344389,7228.324609
strip.random,Strip random effects,ca,Ca (ppm),6541.288889,E,Seedbank,6625.009036,6234.709851,7051.298661,6468.976799,6782.087947
strip.random,Strip random effects,ca,Ca (ppm),6541.288889,R,Reference,6023.389777,5506.648747,6558.765216,5849.206134,6225.389603
strip.plot.random,Strip and plot random effects,ca,Ca (ppm),6541.288889,A,Balled-and-burlapped,6672.815365,6096.572474,7303.953389,6434.532377,6891.767689
strip.plot.random,Strip and plot random effects,ca,Ca (ppm),6541.288889,B,Bareroot,6412.426091,5874.803273,6981.982663,6213.146313,6633.406034
strip.plot.random,Strip and plot random effects,ca,Ca (ppm),6541.288889,C,Seedling,6346.344231,5831.534264,6935.532936,6152.38265,6571.962442
strip.plot.random,Strip and plot random effects,ca,Ca (ppm),6541.288889,D,Acorn,7035.013279,6415.1208,7701.661433,6824.81886,7308.405835
strip.plot.random,Strip and plot random effects,ca,Ca (ppm),6541.288889,E,Seedbank,6613.962713,6062.786917,7214.929528,6407.010374,6843.084326
