"model","model.label","variable","variable.label","variable.mean","treatment","full.treatment.name","posterior.mean","X5","X95","X25","X75"
"strip.plot.random","Strip and plot random effects","bulk.density","Bulk density (g/cm3)",0.877572124,"R","Reference",0.859942024,0.773897273,0.950590128,0.829570534,0.893205576
"simple","Fixed effects only","bulk.n.percent","TN (%)",0.250444444,"A","Balled-and-burlapped",0.27951205,0.265372731,0.294953608,0.273409241,0.285550007
"simple","Fixed effects only","bulk.n.percent","TN (%)",0.250444444,"B","Bareroot",0.264276854,0.24486282,0.283524519,0.256173856,0.271961014
"simple","Fixed effects only","bulk.n.percent","TN (%)",0.250444444,"C","Seedling",0.225364609,0.208395138,0.243716542,0.218003542,0.232518738
"simple","Fixed effects only","bulk.n.percent","TN (%)",0.250444444,"D","Acorn",0.252890666,0.234719476,0.272282888,0.244794424,0.26014891
"simple","Fixed effects only","bulk.n.percent","TN (%)",0.250444444,"E","Seedbank",0.214593136,0.198168618,0.233516675,0.207780185,0.222106792
"simple","Fixed effects only","bulk.n.percent","TN (%)",0.250444444,"R","Reference",0.136119265,0.121971884,0.152344298,0.130499105,0.142687678
"strip.random","Strip random effects","bulk.n.percent","TN (%)",0.250444444,"A","Balled-and-burlapped",0.280106485,0.226455093,0.345158375,0.258172182,0.301940711
"strip.random","Strip random effects","bulk.n.percent","TN (%)",0.250444444,"B","Bareroot",0.263456929,0.201926143,0.349456721,0.237692107,0.291237204
"strip.random","Strip random effects","bulk.n.percent","TN (%)",0.250444444,"C","Seedling",0.222880072,0.169070011,0.292708401,0.202518455,0.248429225
"strip.random","Strip random effects","bulk.n.percent","TN (%)",0.250444444,"D","Acorn",0.25251202,0.187549637,0.340559972,0.227004245,0.283379999
"strip.random","Strip random effects","bulk.n.percent","TN (%)",0.250444444,"E","Seedbank",0.21121382,0.161413271,0.280032245,0.190985199,0.234457199
"strip.random","Strip random effects","bulk.n.percent","TN (%)",0.250444444,"R","Reference",0.136059202,0.094103018,0.196441696,0.11953422,0.157691356
"strip.plot.random","Strip and plot random effects","bulk.n.percent","TN (%)",0.250444444,"A","Balled-and-burlapped",0.279821418,0.230175466,0.342173007,0.260232595,0.301600115
"strip.plot.random","Strip and plot random effects","bulk.n.percent","TN (%)",0.250444444,"B","Bareroot",0.263654288,0.202286525,0.344204246,0.238960692,0.291957688
"strip.plot.random","Strip and plot random effects","bulk.n.percent","TN (%)",0.250444444,"C","Seedling",0.222859188,0.17076655,0.2923794,0.201482175,0.245993088
"strip.plot.random","Strip and plot random effects","bulk.n.percent","TN (%)",0.250444444,"D","Acorn",0.251895246,0.191671793,0.337980753,0.224865361,0.277449618
"strip.plot.random","Strip and plot random effects","bulk.n.percent","TN (%)",0.250444444,"E","Seedbank",0.211503435,0.162306143,0.277694619,0.191406355,0.233749806
"strip.plot.random","Strip and plot random effects","bulk.n.percent","TN (%)",0.250444444,"R","Reference",0.135925706,0.099338188,0.189452011,0.121013875,0.152832556
"simple","Fixed effects only","bulk.c.percent","TC (%)",3.99155555555556,"A","Balled-and-burlapped",3.9587111144625,3.83042515055275,4.08779613558641,3.90631692045077,4.01084734752963
"simple","Fixed effects only","bulk.c.percent","TC (%)",3.99155555555556,"B","Bareroot",4.11843064158482,3.94003314887749,4.31597846553307,4.0473541958222,4.19982870902346
"simple","Fixed effects only","bulk.c.percent","TC (%)",3.99155555555556,"C","Seedling",4.16465228545893,3.98021429530339,4.35504560261095,4.08848872117138,4.24095902029836
"simple","Fixed effects only","bulk.c.percent","TC (%)",3.99155555555556,"D","Acorn",4.15532128050811,3.9749385668978,4.35245508461529,4.08011505815013,4.23514279363761
"simple","Fixed effects only","bulk.c.percent","TC (%)",3.99155555555556,"E","Seedbank",4.20615235965863,4.02403115086168,4.40343771373526,4.1267415972688,4.28159545688827
"simple","Fixed effects only","bulk.c.percent","TC (%)",3.99155555555556,"R","Reference",3.49845864578878,3.3267744348894,3.67435732270643,3.42824180523402,3.56997769944726
"strip.random","Strip random effects","bulk.c.percent","TC (%)",3.99155555555556,"A","Balled-and-burlapped",3.94608729298731,3.66694369617992,4.24421835697688,3.84413412454253,4.05703826506378
"strip.random","Strip random effects","bulk.c.percent","TC (%)",3.99155555555556,"B","Bareroot",4.12877699625424,3.74772098523287,4.54058793221704,3.98570082032035,4.28086677136335
"strip.random","Strip random effects","bulk.c.percent","TC (%)",3.99155555555556,"C","Seedling",4.17554191142727,3.79583225156596,4.58515324857453,4.03752644942862,4.33364765009987
"strip.random","Strip random effects","bulk.c.percent","TC (%)",3.99155555555556,"D","Acorn",4.16420588625126,3.74967213077691,4.61110919979854,4.0095009707142,4.32462281678886
"strip.random","Strip random effects","bulk.c.percent","TC (%)",3.99155555555556,"E","Seedbank",4.21486809825609,3.84094215985913,4.64512421223902,4.0626037698542,4.36046508911567
"strip.random","Strip random effects","bulk.c.percent","TC (%)",3.99155555555556,"R","Reference",3.51172546001566,3.11381879894021,3.98669202534199,3.360223853683,3.67603818289313
"strip.plot.random","Strip and plot random effects","bulk.c.percent","TC (%)",3.99155555555556,"A","Balled-and-burlapped",3.95983571181686,3.6344969117178,4.31416589931232,3.83262075945043,4.09228263659484
"strip.plot.random","Strip and plot random effects","bulk.c.percent","TC (%)",3.99155555555556,"B","Bareroot",4.11368432367554,3.66368222022598,4.62027403058827,3.94167780099218,4.30620498557424
"strip.plot.random","Strip and plot random effects","bulk.c.percent","TC (%)",3.99155555555556,"C","Seedling",4.16188044272458,3.68786423261976,4.6680825113593,3.98238612139133,4.35562370730055
"strip.plot.random","Strip and plot random effects","bulk.c.percent","TC (%)",3.99155555555556,"D","Acorn",4.15730175458433,3.67574092874324,4.69721830121151,3.96741427138078,4.34946317509484
"strip.plot.random","Strip and plot random effects","bulk.c.percent","TC (%)",3.99155555555556,"E","Seedbank",4.19351242828322,3.73792122171709,4.71983085986611,4.01421776383504,4.3865260817813
"strip.plot.random","Strip and plot random effects","bulk.c.percent","TC (%)",3.99155555555556,"R","Reference",3.4866285004835,3.06736870600602,3.99486253858103,3.32955423821534,3.67011719055847
"simple","Fixed effects only","bulk.cn.ratio","C:N Ratio",16.69744444,"A","Balled-and-burlapped",14.16030162,13.44078504,14.92892937,13.8931258,14.49176481
"simple","Fixed effects only","bulk.cn.ratio","C:N Ratio",16.69744444,"B","Bareroot",16.3595804,15.18373787,17.60289748,15.92292037,16.91672694
"simple","Fixed effects only","bulk.cn.ratio","C:N Ratio",16.69744444,"C","Seedling",19.88387322,18.56004101,21.25661337,19.32880554,20.43763249
"simple","Fixed effects only","bulk.cn.ratio","C:N Ratio",16.69744444,"D","Acorn",17.30774387,16.10087706,18.60668207,16.81331265,17.83155308
"simple","Fixed effects only","bulk.cn.ratio","C:N Ratio",16.69744444,"E","Seedbank",20.94705599,19.61411243,22.42049893,20.38685877,21.52880735
"simple","Fixed effects only","bulk.cn.ratio","C:N Ratio",16.69744444,"R","Reference",26.80420757,25.23438083,28.52844975,26.12549985,27.46080942
"strip.random","Strip random effects","bulk.cn.ratio","C:N Ratio",16.69744444,"A","Balled-and-burlapped",14.09848798,11.97857067,16.71845268,13.2833193,15.04598441
"strip.random","Strip random effects","bulk.cn.ratio","C:N Ratio",16.69744444,"B","Bareroot",16.41689434,13.07801858,20.16433198,15.13048708,17.77981068
"strip.random","Strip random effects","bulk.cn.ratio","C:N Ratio",16.69744444,"C","Seedling",19.79414875,15.89418519,24.45117398,18.37542098,21.57387026
