Date,Treatment_Plot,Quadrat,Depth range (cm),Mass of weighing boat (g),Mass of boat + wet soil + coarse rocks/roots (g),Mass of boat + dry soil + coarse rocks/roots (g),Mass of water (g),Mass of dry soil + coarse rocks/roots (g),Mass of weighing tin (g),Mass of weighing tin + coarse rocks/roots (g),Mass of coarse material (g),Mass of coarse roots and wood fragments(g),Mass of dry soil (g),Start volume (mL),End volume (mL),Volume of coarse rocks/roots/debris (mL),Volume soil core (cm3),Corrected volume (cm3),Gravimetric moistue (%),Volumetric moisture (g/cm3),Bulk density (g/cm3),Root and wood fragment density (g/cm3),Note
45090,A2,Q5,0-15,12.98,364.86,288.89,75.97,275.91,2.2162,2.6569,0.4407,0.389,275.4693,80,81,1,318.5574951,317.5574951,0.275783908,0.239232269,0.867462756,0.001224975,
45090,A2,Q5,15-30,13.09,416.66,324.54,92.12,311.45,,,0,0,311.45,,,0,318.5574951,318.5574951,0.295777813,0.289178567,0.977688501,0,
45090,A3,Q1,0-15,13.32,385.36,313.34,72.02,300.02,,,0,0,300.02,,,0,318.5574951,318.5574951,0.240050663,0.226081637,0.941808008,0,
45090,A3,Q1,15-30,13.06,469.62,385,84.62,371.94,2.2162,2.59,0.3738,0,371.5662,80,80.8,0.8,318.5574951,317.7574951,0.227738691,0.266303711,1.169338901,0,
45090,A3,Q2,0-15,13.39,363.49,284,79.49,270.61,2.2162,2.3434,0.1272,0.113,270.4828,15,15.4,0.4,318.5574951,318.1574951,0.293881903,0.249844813,0.850153789,0.00035517,
45090,A3,Q2,15-30,13.34,349.34,279.36,69.98,266.02,,,0,0,266.02,,,0,318.5574951,318.5574951,0.263062928,0.21967777,0.835076883,0,
45090,A3,Q3,0-15,12.95,380.38,308.64,71.74,295.69,2.2162,2.2689,0.0527,0,295.6373,15,15.1,0.1,318.5574951,318.4574951,0.242662208,0.225273392,0.928341473,0,
45090,A3,Q3,15-30,13.08,383.28,312.45,70.83,299.37,2.2162,4.1823,1.9661,1.284,297.4039,80,83.5,3.5,318.5574951,315.0574951,0.238160966,0.224816109,0.943967068,0.004075447,
45090,A3,Q4,0-15,13.05,332.47,265.43,67.04,252.38,2.2162,4.21,1.9938,1.244,250.3862,80,84,4,318.5574951,314.5574951,0.267746385,0.21312479,0.795995021,0.003954762,
45090,A3,Q4,15-30,13.41,394.16,319.17,74.99,305.76,2.2162,2.3617,0.1455,0.048,305.6145,15,15.2,0.2,318.5574951,318.3574951,0.245374483,0.235552802,0.959972687,0.000150774,
45090,A3,Q5,0-15,13.55,448.12,363.26,84.86,349.71,2.2162,3.1974,0.9812,0.259,348.7288,80,81,1,318.5574951,317.5574951,0.243340957,0.267227199,1.098159563,0.0008156,
45090,A3,Q5,15-30,12.94,473.94,385.57,88.37,372.63,2.2162,2.2979,0.0817,0.073,372.5483,15,15.2,0.2,318.5574951,318.3574951,0.237204142,0.277581026,1.170219975,0.000229302,
45090,B1,Q1,0-15,12.86,386.21,311.71,74.5,298.85,2.2162,3.3298,1.1136,0.841,297.7364,80,82,2,318.5574951,316.5574951,0.250221337,0.235344293,0.940544465,0.002656705,
45090,B1,Q1,15-30,12.8,445.57,355.97,89.6,343.17,2.2162,2.2647,0.0485,0,343.1215,15,15.2,0.2,318.5574951,318.3574951,0.26113199,0.281444607,1.077786782,0,
45090,B1,Q2,0-15,12.84,360.45,289.45,71,276.61,,,0,0,276.61,,,0,318.5574951,318.5574951,0.256679079,0.222879703,0.868320489,0,
45090,B1,Q2,15-30,13.38,361.92,287.44,74.48,274.06,2.2162,2.2634,0.0472,0.004,274.0128,15,15.1,0.1,318.5574951,318.4574951,0.27181212,0.233877366,0.860437591,1.25605E-05,
45090,B1,Q3,0-15,12.8,358.97,283.75,75.22,270.95,2.2162,2.287,0.0708,0.032,270.8792,15,15.3,0.3,318.5574951,318.2574951,0.277688357,0.236349501,0.851132194,0.000100548,
45090,B1,Q3,15-30,12.77,345.84,275.83,70.01,263.06,2.2162,2.9067,0.6905,0.476,262.3695,80,80.9,0.9,318.5574951,317.6574951,0.266837418,0.220394611,0.825950919,0.001498469,
45090,B1,Q4,0-15,13.44,371.33,297.58,73.75,284.14,,,0,0,284.14,,,0,318.5574951,318.5574951,0.259555149,0.231512368,0.891958294,0,
45090,B1,Q4,15-30,13.42,361.06,294.26,66.8,280.84,,,0,0,280.84,,,0,318.5574951,318.5574951,0.237857855,0.20969527,0.881599097,0,
45090,B1,Q5,0-15,13.39,345.17,272.9,72.27,259.51,2.2162,4.0618,1.8456,0.684,257.6644,80,83.5,3.5,318.5574951,315.0574951,0.280481122,0.229386703,0.817832948,0.002171032,
45090,B1,Q5,15-30,12.83,371.13,298.16,72.97,285.33,2.2162,2.2391,0.0229,0,285.3071,15,15.1,0.1,318.5574951,318.4574951,0.255759496,0.229135759,0.895903235,0,
45091,B2,Q1,0-15,12.77,334.32,272.29,62.03,259.52,2.2162,2.3065,0.0903,0,259.4297,15,15.2,0.2,318.5574951,318.3574951,0.239101383,0.19484385,0.814900557,0,
45090,B2,Q1,15-30,12.86,487.7,398.23,89.47,385.37,,,0,0,385.37,,,0,318.5574951,318.5574951,0.232166489,0.280859818,1.209734525,0,
45091,B2,Q2,0-15,12.97,312.5,245.61,66.89,232.64,2.2162,4.3194,2.1032,0.195,230.5368,80,82,2,318.5574951,316.5574951,0.290148905,0.211304427,0.728262017,0.000616002,
45091,B2,Q2,15-30,12.9,397.11,318.66,78.45,305.76,2.2162,2.4876,0.2714,0.087,305.4886,15,15.6,0.6,318.5574951,317.9574951,0.256801727,0.246731092,0.960784396,0.000273621,
45091,B2,Q3,0-15,12.84,324.99,260.03,64.96,247.19,2.2162,4.103,1.8868,1.269,245.3032,80,84,4,318.5574951,314.5574951,0.264815135,0.206512326,0.779835813,0.004034239,
45091,B2,Q3,15-30,12.87,454.3,364.07,90.23,351.2,2.2162,2.3058,0.0896,0.015,351.1104,15,15.1,0.1,318.5574951,318.4574951,0.256984698,0.283334515,1.102534578,4.7102E-05,
45091,B2,Q4,0-15,12.9,312.81,243.69,69.12,230.79,2.2162,4.1027,1.8865,0,228.9035,15,15.2,0.2,318.5574951,318.3574951,0.301961307,0.217114411,0.719014013,0,
45091,B2,Q4,15-30,12.82,411.74,324.99,86.75,312.17,2.2162,2.6247,0.4085,0.368,311.7615,80,81,1,318.5574951,317.5574951,0.278257578,0.273178877,0.981748203,0.001158845,
45091,B2,Q5,0-15,12.77,325.8,256.97,68.83,244.2,2.2162,4.5359,2.3197,1.78,241.8803,80,85,5,318.5574951,313.5574951,0.28456224,0.219513171,0.771406532,0.00567679,
45091,B2,Q5,15-30,12.83,382.12,307.8,74.32,294.97,2.2162,2.2966,0.0804,0.075,294.8896,15,15.2,0.2,318.5574951,318.3574951,0.252026521,0.23344825,0.926284459,0.000235584,
45091,B3,Q1,0-15,12.79,333.64,275.32,58.32,262.53,2.2162,2.693,0.4768,0.339,262.0532,80,81,1,318.5574951,317.5574951,0.22255023,0.183651782,0.825214974,0.001067523,
45091,B3,Q1,15-30,12.85,385.47,314.93,70.54,302.08,2.2162,4.0762,1.86,1.711,300.22,80,83.5,3.5,318.5574951,315.0574951,0.234961029,0.223895642,0.952905437,0.005430755,
45091,B3,Q2,0-15,12.84,346.2,275.32,70.88,262.48,2.2162,2.6414,0.4252,0.318,262.0548,15,15.5,0.5,318.5574951,318.0574951,0.270477778,0.22285279,0.823922731,0.000999819,
45091,B3,Q2,15-30,12.89,341.45,276.79,64.66,263.9,2.2162,2.5829,0.3667,0.305,263.5333,80,81,1,318.5574951,317.5574951,0.245357987,0.203616671,0.829875862,0.000960456,
45091,B3,Q3,0-15,12.83,333.03,277.66,55.37,264.83,2.2162,3.085,0.8688,0.661,263.9612,80,82,2,318.5574951,316.5574951,0.209765678,0.174912933,0.833849156,0.002088088,
45091,B3,Q3,15-30,12.94,345.64,280.83,64.81,267.89,2.2162,2.7696,0.5534,0.351,267.3366,80,80.9,0.9,318.5574951,317.6574951,0.242428459,0.204024778,0.841587572,0.001104964,
45091,B3,Q4,0-15,12.84,349.75,281.82,67.93,268.98,2.2162,2.6506,0.4344,0.034,268.5456,80,80.5,0.5,318.5574951,318.0574951,0.252955178,0.213577737,0.844330362,0.000106899,
45091,B3,Q4,15-30,12.83,193.62,153.33,40.29,140.5,2.2162,6.6395,4.4233,0.047,136.0767,15,17,2,318.5574951,316.5574951,0.296083018,0.127275457,0.429864091,0.000148472,
45091,B3,Q5,0-15,13.03,311.86,254.84,57.02,241.81,2.2162,2.7093,0.4931,0.414,241.3169,80,81.5,1.5,318.5574951,317.0574951,0.236286808,0.179841199,0.761114005,0.001305757,
45091,B3,Q5,15-30,12.93,276.84,224.26,52.58,211.33,2.2162,4.3651,2.1489,0.326,209.1811,80,81.5,1.5,318.5574951,317.0574951,0.251361141,0.16583743,0.659757625,0.001028205,
45089,C1,Q1,0-15,12.77,348,275.38,72.62,262.61,2.2162,2.813,0.5968,0.406,262.0132,80,82.5,2.5,318.5574951,316.0574951,0.277161609,0.229768321,0.829004862,0.001284576,
45089,C1,Q1,15-30,12.95,398.97,315.59,83.38,302.64,2.2162,3.8289,1.6127,0.255,301.0273,15,17.9,2.9,318.5574951,315.6574951,0.276984845,0.264147062,0.953651678,0.000807838,
45089,C1,Q2,0-15,12.9,332.67,262.76,69.91,249.86,2.2162,3.9276,1.7114,1.106,248.1486,80,84,4,318.5574951,314.5574951,0.281726353,0.222248718,0.788881536,0.00351605,
45089,C1,Q2,15-30,12.86,462.64,364.9,97.74,352.04,2.2162,3.1236,0.9074,0.669,351.1326,80,82,2,318.5574951,316.5574951,0.278356382,0.308759077,1.109222196,0.00211336,
45089,C1,Q3,0-15,12.79,323.51,250.11,73.4,237.32,,,0,0,237.32,,,0,318.5574951,318.5574951,0.309287039,0.230413665,0.744983256,0,
45089,C1,Q3,15-30,12.83,379.12,294,85.12,281.17,2.2162,2.994,0.7778,0.603,280.3922,80,81,1,318.5574951,317.5574951,0.303574778,0.268045949,0.882965146,0.001898869,
45089,C1,Q4,0-15,12.84,353.46,271.51,81.95,258.67,2.2162,2.9997,0.7835,0.546,257.8865,80,81.5,1.5,318.5574951,317.0574951,0.317775455,0.258470471,0.813374558,0.001722085,
45089,C1,Q4,15-30,13.35,398.88,312.36,86.52,299.01,2.2162,7.3262,5.11,3.863,293.9,180,190,10,318.5574951,308.5574951,0.294385846,0.28040155,0.952496714,0.012519547,
45089,C1,Q5,0-15,12.85,339.24,271.47,67.77,258.62,2.2162,2.5699,0.3537,0.073,258.2663,15,15.5,0.5,318.5574951,318.0574951,0.262403573,0.213074683,0.812011363,0.000229518,
45089,C1,Q5,15-30,12.84,429.11,343.55,85.56,330.71,2.2162,3.7654,1.5492,1.152,329.1608,80,84.5,4.5,318.5574951,314.0574951,0.259933747,0.272434192,1.048090892,0.003668118,
45090,C2,Q1,0-15,12.9,333.03,273.95,59.08,261.05,2.2162,2.2162,0,0,261.05,,,0,318.5574951,318.5574951,0.226316798,0.185461026,0.819475304,0,
45090,C2,Q1,15-30,12.82,319.66,262.6,57.06,249.78,2.2162,2.2326,0.0164,0.013,249.7636,15,15.2,0.2,318.5574951,318.3574951,0.228456028,0.179232469,0.784538149,4.08346E-05,
45090,C2,Q2,0-15,12.9,336.01,274.7,61.31,261.8,2.2162,2.454,0.2378,0.144,261.5622,15,15.4,0.4,318.5574951,318.1574951,0.234399313,0.192703302,0.822115474,0.000452606,
