"treatment","full.treatment.name","strip","plot","spp","genus","species","abC.ha.jenkins","abC.ha.chojnacky","abC.ha.allodb","bgC.ha.jenkins","bgC.ha.chojnacky","bgC.ha.allodb","bmC.ha.jenkins","bmC.ha.chojnacky","bmC.ha.allodb"
"B","Bareroot",3,3,"Quebic","Quercus","bicolor",1.72008713254215,1.65257937187209,2.46494297882756,0.336830471900378,0.354534403297721,0.528905978631205,2.05691760444252,2.00711377516981,2.99384895745876
"C","Seedling",1,1,"Carill","Carya","illinoiensis",14.3662955951493,15.4093421976829,16.0140696489704,2.75599264026606,3.25013814648194,3.38176262690987,17.1222882354154,18.6594803441649,19.3958322758803
"C","Seedling",1,1,"Fraxpen","Fraxinus","pennsylvanica",0.803495348539664,0.867952618992677,1.2090483838343,0.155379637442944,0.184777912491985,0.257393585292696,0.958874985982608,1.05273053148466,1.466441969127
"C","Seedling",1,1,"Moralb","Morus","alba",0.106294865303564,0.12100555968257,0.123565533759214,0.0219430467745683,0.0265417094158311,0.027103221533395,0.128237912078132,0.147547269098401,0.150668755292609
"C","Seedling",1,1,"Popdel","Populus","deltoides",42.1029436293826,45.4643736358928,47.2813455772056,7.83175166907017,9.1376571385138,9.50284124427058,49.9346952984528,54.6020307744066,56.7841868214762
"C","Seedling",1,1,"Quebic","Quercus","bicolor",1.75795289397961,1.69070202601455,2.42895532663509,0.341145329147924,0.360802379340417,0.518357045140608,2.09909822312754,2.05150440535496,2.9473123717757
"C","Seedling",2,2,"Acesai","Acer","saccharinum",187.483719887929,176.32553936885,193.519012182656,35.3411608753679,36.4895623965343,40.0260697044534,222.824880763297,212.815101765384,233.545081887109
"C","Seedling",2,2,"Fraxpen","Fraxinus","pennsylvanica",0.30826097565918,0.36210201891737,0.513113620107329,0.062286261624863,0.0788245653062038,0.111699816189662,0.370547237284043,0.440926584223574,0.624813436296991
"C","Seedling",3,3,"Acesai","Acer","saccharinum",170.089273410355,161.104072152982,187.416362895404,31.8739534100268,32.9341055385295,38.275986376984,201.963226820382,194.038177691511,225.692349272388
"C","Seedling",3,3,"Carill","Carya","illinoiensis",24.4671088585582,27.1399833147367,26.6154820487518,4.65834684802509,5.68847834116897,5.58322809876013,29.1254557065833,32.8284616559057,32.1987101475119
