"pool","species","species.mean","treatment","full.treatment.name","Rhat"
"live.tree.carbon","Gleditsia triacanthos",0.307885525165037,"A","Balled-and-burlapped",1.00113761969541
"live.tree.carbon","Gleditsia triacanthos",0.307885525165037,"B","Bareroot",1.00122528661446
"live.tree.carbon","Gleditsia triacanthos",0.307885525165037,"C","Seedling",1.00241954627698
"live.tree.carbon","Gleditsia triacanthos",0.307885525165037,"D","Acorn",1.00236089611862
"live.tree.carbon","Gleditsia triacanthos",0.307885525165037,"E","Seedbank",1.0019371697943
"live.tree.carbon","Gleditsia triacanthos",0.307885525165037,"R","Reference",1.0008291631841
"herbaceous.carbon","Mixed community",0.273706241975309,"A","Balled-and-burlapped",1.00082657650177
"herbaceous.carbon","Mixed community",0.273706241975309,"B","Bareroot",1.00100411520157
"herbaceous.carbon","Mixed community",0.273706241975309,"C","Seedling",1.00135643251231
"herbaceous.carbon","Mixed community",0.273706241975309,"D","Acorn",1.00075196636332
"herbaceous.carbon","Mixed community",0.273706241975309,"E","Seedbank",1.00067835890694
"herbaceous.carbon","Mixed community",0.273706241975309,"R","Reference",1.0047868809769
"herbaceous.carbon","Phalaris arundinacea",0.168335990123457,"A","Balled-and-burlapped",1.01263307035472
"herbaceous.carbon","Phalaris arundinacea",0.168335990123457,"B","Bareroot",1.00523883254336
"herbaceous.carbon","Phalaris arundinacea",0.168335990123457,"C","Seedling",1.00704123175984
"herbaceous.carbon","Phalaris arundinacea",0.168335990123457,"D","Acorn",1.00319656626188
"herbaceous.carbon","Phalaris arundinacea",0.168335990123457,"E","Seedbank",1.00391130905456
"herbaceous.carbon","Phalaris arundinacea",0.168335990123457,"R","Reference",1.00406976405647
"herbaceous.carbon","Humulus japonicus",0.193483548148148,"A","Balled-and-burlapped",1.00393948635107
"herbaceous.carbon","Humulus japonicus",0.193483548148148,"B","Bareroot",1.00229640563423
"herbaceous.carbon","Humulus japonicus",0.193483548148148,"C","Seedling",1.00268632768909
"herbaceous.carbon","Humulus japonicus",0.193483548148148,"D","Acorn",1.001780325558
"herbaceous.carbon","Humulus japonicus",0.193483548148148,"E","Seedbank",1.00129165045201
"herbaceous.carbon","Humulus japonicus",0.193483548148148,"R","Reference",1.00428625584154
