"model","model.label","variable","variable.label","variable.mean","treatment","full.treatment.name","posterior.mean","5","95","25","75"
"strip.random","Strip random effects","n.both.herb.tree","Both tree and herbaceous layer",0.666666666666667,"B","Bareroot",0.344804805816697,0.116721623315627,1.03165254725637,0.262424623150493,0.629790241314827
"strip.random","Strip random effects","n.both.herb.tree","Both tree and herbaceous layer",0.666666666666667,"C","Seedling",0.477719238042157,0.171719119742856,1.30474800328547,0.389738751996227,0.86920724188544
"strip.random","Strip random effects","n.both.herb.tree","Both tree and herbaceous layer",0.666666666666667,"D","Acorn",0.487053393931377,0.172660284178919,1.38675449579164,0.392834030631528,0.885409113827997
"strip.random","Strip random effects","n.both.herb.tree","Both tree and herbaceous layer",0.666666666666667,"E","Seedbank",0.257995734605695,0.0821381122411343,0.768951515100997,0.186510590616736,0.465028810156019
"strip.random","Strip random effects","n.both.herb.tree","Both tree and herbaceous layer",0.666666666666667,"R","Reference",1.22793193061807,0.505609907974947,2.75902516379027,1.07537712295789,1.93901302150384
"simple","Fixed effects only","n.total","Total richness",16.8333333333333,"A","Balled-and-burlapped",19.913939727916,16.6627138280553,24.0338401849828,18.906552382464,21.7710902731424
"simple","Fixed effects only","n.total","Total richness",16.8333333333333,"B","Bareroot",16.2029692409743,13.0172773836776,20.4390204839756,15.2517818465917,18.1108763619685
"simple","Fixed effects only","n.total","Total richness",16.8333333333333,"C","Seedling",18.570849982419,15.3218054757239,22.7123117935398,17.5928742018342,20.4489830230867
"simple","Fixed effects only","n.total","Total richness",16.8333333333333,"D","Acorn",17.2168108393284,13.9756937266723,21.3601374033532,16.2116077075105,19.0769944037455
"simple","Fixed effects only","n.total","Total richness",16.8333333333333,"E","Seedbank",7.64440817308912,4.93821237475053,12.1182281548827,6.97678243798553,9.80267098650206
"simple","Fixed effects only","n.total","Total richness",16.8333333333333,"R","Reference",18.9093705399893,15.5965012847604,22.9376925983612,17.8668031607209,20.7072807584212
"strip.random","Strip random effects","n.total","Total richness",16.8333333333333,"A","Balled-and-burlapped",19.6532489278139,14.865879515523,25.7561436668249,18.0439284944217,22.0130047714076
"strip.random","Strip random effects","n.total","Total richness",16.8333333333333,"B","Bareroot",16.112417037712,12.2951949156203,21.0672190558441,14.9244748004645,18.2612287002314
"strip.random","Strip random effects","n.total","Total richness",16.8333333333333,"C","Seedling",18.4420017334564,14.3278242046897,23.62292716654,17.1115165128596,20.6246291147175
"strip.random","Strip random effects","n.total","Total richness",16.8333333333333,"D","Acorn",17.779650158149,13.2120200043269,23.6278227007647,16.1223643008037,19.9485285795876
"strip.random","Strip random effects","n.total","Total richness",16.8333333333333,"E","Seedbank",7.70309078481151,5.06614526020308,12.0566080467469,6.93880623508985,9.63299670232626
"strip.random","Strip random effects","n.total","Total richness",16.8333333333333,"R","Reference",18.9258106099967,13.3784479514842,26.7790801288694,16.9018450063521,21.4714831293586
"simple","Fixed effects only","herbaceous.litter.c.stock","Herbaceous litter",1.95907698518519,"A","Balled-and-burlapped",1.65608541270267,0.910878421961718,3.03358020265555,1.52513115111019,2.38055091438875
"simple","Fixed effects only","herbaceous.litter.c.stock","Herbaceous litter",1.95907698518519,"B","Bareroot",1.64170241228409,0.893102277005223,3.00875941663341,1.51453073538727,2.3791522968278
"simple","Fixed effects only","herbaceous.litter.c.stock","Herbaceous litter",1.95907698518519,"C","Seedling",1.576473809099,0.84405316035578,2.94268997929416,1.43903909681017,2.28563153125172
"simple","Fixed effects only","herbaceous.litter.c.stock","Herbaceous litter",1.95907698518519,"D","Acorn",1.71514038345135,0.959821371498258,3.13813373739331,1.59150227419315,2.46283382715721
