"variable","variable.label","model","model.label","treatment","full.treatment.name","Rhat"
"herbaceous.biomass.c.stock","Herbaceous biomass","strip.random","Strip random effects","E","Seedbank",1.0001596974103
"herbaceous.biomass.c.stock","Herbaceous biomass","strip.random","Strip random effects","R","Reference",1.00023164703277
"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","simple","Fixed effects only","A","Balled-and-burlapped",1.00051146277539
"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","simple","Fixed effects only","B","Bareroot",1.00053253365408
"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","simple","Fixed effects only","C","Seedling",1.00043667690326
"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","simple","Fixed effects only","D","Acorn",1.00049678642351
"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","simple","Fixed effects only","E","Seedbank",1.00071559353571
"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","simple","Fixed effects only","R","Reference",1.00059131551846
"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","strip.random","Strip random effects","A","Balled-and-burlapped",1.00016617266419
"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","strip.random","Strip random effects","B","Bareroot",1.00013718514076
"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","strip.random","Strip random effects","C","Seedling",1.00023210780666
"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","strip.random","Strip random effects","D","Acorn",1.0003984551317
"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","strip.random","Strip random effects","E","Seedbank",1.00012655808036
"herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio","strip.random","Strip random effects","R","Reference",1.00002130355423
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","simple","Fixed effects only","A","Balled-and-burlapped",1.00036090051468
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","simple","Fixed effects only","B","Bareroot",1.00047152708235
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","simple","Fixed effects only","C","Seedling",1.00042258227554
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","simple","Fixed effects only","D","Acorn",1.00029297035946
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","simple","Fixed effects only","E","Seedbank",1.00015667872486
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","simple","Fixed effects only","R","Reference",1.00032391483671
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","strip.random","Strip random effects","A","Balled-and-burlapped",1.00051093517647
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","strip.random","Strip random effects","B","Bareroot",1.00030162093846
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","strip.random","Strip random effects","C","Seedling",1.00022515812721
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","strip.random","Strip random effects","D","Acorn",1.00008491811688
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","strip.random","Strip random effects","E","Seedbank",1.00025124782726
"herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio","strip.random","Strip random effects","R","Reference",1.00019177105815
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","simple","Fixed effects only","A","Balled-and-burlapped",1.00005582294145
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","simple","Fixed effects only","B","Bareroot",1.00015934416818
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","simple","Fixed effects only","C","Seedling",1.0003825400224
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","simple","Fixed effects only","D","Acorn",1.00025910466797
"fine.woody.debris.cn.ratio","Fine woody debris C:N ratio","simple","Fixed effects only","E","Seedbank",1.00020565445908
