model,model.label,variable,variable.label,variable.mean,treatment,full.treatment.name,posterior.mean,5,95,25,75
strip.random,Strip random effects,n.tree.only,Tree layer richness,2.111111111,R,Reference,-0.598598092,-1.725059526,0.489093599,-0.995650266,-0.128044484
simple,Fixed effects only,n.both.herb.tree,Both tree and herbaceous layer,0.666666667,A,Balled-and-burlapped,-0.454182485,-1.260697662,0.429899838,-0.657403709,0.00808055
simple,Fixed effects only,n.both.herb.tree,Both tree and herbaceous layer,0.666666667,B,Bareroot,-0.430756699,-1.661391887,0.800609846,-0.840393807,0.147227488
simple,Fixed effects only,n.both.herb.tree,Both tree and herbaceous layer,0.666666667,C,Seedling,-0.081528824,-1.340688566,1.088748849,-0.429644649,0.513256905
simple,Fixed effects only,n.both.herb.tree,Both tree and herbaceous layer,0.666666667,D,Acorn,-0.076563453,-1.314071054,1.109701454,-0.402882232,0.526858151
simple,Fixed effects only,n.both.herb.tree,Both tree and herbaceous layer,0.666666667,E,Seedbank,-0.7201663,-1.966056407,0.560919179,-1.153667079,-0.140245231
simple,Fixed effects only,n.both.herb.tree,Both tree and herbaceous layer,0.666666667,R,Reference,1.078042199,0.150409865,2.064116411,0.716369875,1.44121781
strip.random,Strip random effects,n.both.herb.tree,Both tree and herbaceous layer,0.666666667,A,Balled-and-burlapped,-0.975440426,-2.343425975,0.432283793,-1.035907663,-0.070172522
strip.random,Strip random effects,n.both.herb.tree,Both tree and herbaceous layer,0.666666667,B,Bareroot,-0.352596244,-1.735358283,0.983084644,-0.800132731,0.292927622
strip.random,Strip random effects,n.both.herb.tree,Both tree and herbaceous layer,0.666666667,C,Seedling,-0.059976009,-1.423876687,1.258862791,-0.46917664,0.593304945
strip.random,Strip random effects,n.both.herb.tree,Both tree and herbaceous layer,0.666666667,D,Acorn,-0.027608845,-1.359523464,1.320160716,-0.490320102,0.564148095
strip.random,Strip random effects,n.both.herb.tree,Both tree and herbaceous layer,0.666666667,E,Seedbank,-0.605815396,-2.027500718,0.750321344,-1.197338917,-0.084486726
strip.random,Strip random effects,n.both.herb.tree,Both tree and herbaceous layer,0.666666667,R,Reference,0.909152687,-0.380153825,2.159789721,0.466378706,1.423377574
simple,Fixed effects only,n.total,Total richness,16.83333333,A,Balled-and-burlapped,0.151907833,-0.024125974,0.342321603,0.102377436,0.241827966
simple,Fixed effects only,n.total,Total richness,16.83333333,B,Bareroot,-0.187572731,-0.471273332,0.108517048,-0.29390526,-0.075331362
simple,Fixed effects only,n.total,Total richness,16.83333333,C,Seedling,-0.05190587,-0.317150997,0.219679102,-0.166231655,0.039521406
simple,Fixed effects only,n.total,Total richness,16.83333333,D,Acorn,-0.124678717,-0.399856065,0.157315604,-0.230131885,-0.015906658
simple,Fixed effects only,n.total,Total richness,16.83333333,E,Seedbank,-0.932920983,-1.426851511,-0.460084937,-1.063613947,-0.703315278
simple,Fixed effects only,n.total,Total richness,16.83333333,R,Reference,-0.034840338,-0.29939405,0.23304246,-0.141403291,0.061673988
strip.random,Strip random effects,n.total,Total richness,16.83333333,A,Balled-and-burlapped,0.125796914,-0.139537481,0.380856706,0.05828856,0.251135704
strip.random,Strip random effects,n.total,Total richness,16.83333333,B,Bareroot,-0.165219585,-0.533813768,0.203490723,-0.311127426,-0.034291846
strip.random,Strip random effects,n.total,Total richness,16.83333333,C,Seedling,-0.032605539,-0.377331118,0.326220541,-0.169843711,0.092228103
strip.random,Strip random effects,n.total,Total richness,16.83333333,D,Acorn,-0.067819475,-0.44975804,0.310797445,-0.229498694,0.053390789
strip.random,Strip random effects,n.total,Total richness,16.83333333,E,Seedbank,-0.899397042,-1.404239959,-0.401760684,-1.063024378,-0.682126012
strip.random,Strip random effects,n.total,Total richness,16.83333333,R,Reference,-0.005369272,-0.422134184,0.423713009,-0.184485329,0.118659066
simple,Fixed effects only,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,A,Balled-and-burlapped,-0.174467366,-0.689704353,0.346368854,-0.281591701,0.120238021
simple,Fixed effects only,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,B,Bareroot,-0.050607637,-0.846150459,0.765355166,-0.317123383,0.27786119
simple,Fixed effects only,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,C,Seedling,-0.091707876,-0.894996194,0.751612092,-0.312884282,0.29722371
simple,Fixed effects only,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,D,Acorn,0.000724392,-0.753628872,0.819277768,-0.221553089,0.362808893
simple,Fixed effects only,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,E,Seedbank,0.40145345,-0.266871723,1.069301885,0.132915636,0.639816653
simple,Fixed effects only,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,R,Reference,-0.478469818,-1.431567219,0.431400301,-0.719501063,-0.005438511
strip.random,Strip random effects,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,A,Balled-and-burlapped,-0.12480208,-0.650572751,0.42417979,-0.308153505,0.113142399
strip.random,Strip random effects,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,B,Bareroot,-0.023326497,-0.776780442,0.70433861,-0.309302127,0.26930538
strip.random,Strip random effects,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,C,Seedling,-0.05792563,-0.793570661,0.702732234,-0.359357867,0.227368439
strip.random,Strip random effects,herbaceous.litter.c.stock,Herbaceous litter,1.959076985,D,Acorn,-0.036240387,-0.816561218,0.775173282,-0.35949033,0.271013174
